COMID,CatAreaSqKm,WsAreaSqKm,CatPctFull,WsPctFull,BFICat,BFIWs
5425113,1.3545,1.3545,100.0,100.0,47.814,47.814
5425269,2.4822,2.4822,100.0,100.0,59.0,59.0
5424775,0.1233,5.7492,100.0,100.0,53.0438,52.9798
5423197,0.2268,3.1122,100.0,100.0,56.2421,56.0723
5596744,0.5805,2.1591,100.0,100.0,44.0,44.0
5598830,1.3275,1.3275,100.0,100.0,42.0,42.0
5597784,0.2043,2.8575,100.0,100.0,38.0,37.9981
5597578,0.1458,395.4798,100.0,100.0,41.0,45.2885
5596690,0.2808,6.0354,100.0,100.0,39.0,39.0
5598976,2.4885,11.0898,100.0,100.0,47.7251,48.629
5423875,2.7828,2.7828,100.0,100.0,58.0,58.0
5597338,1.5174,1.5174,100.0,100.0,39.0,39.0
5595832,2.7711,2.7711,100.0,100.0,40.0175,40.0175
5596910,2.5101,2.5101,100.0,100.0,48.1172,48.1172
5596680,0.8379,3.5271,100.0,100.0,40.3835,42.2674
5423177,1.9206,1.9206,100.0,100.0,56.0,56.0
5596042,0.1125,286.9902,100.0,100.0,40.0,46.6189
5423715,1.9242,1.9242,100.0,100.0,54.5814,54.5814
5425127,5.0175,5.0175,100.0,100.0,45.7114,45.7114
5596732,5.9634,248.9481,100.0,100.0,41.433,47.5395
5423725,0.8307,4.7421,100.0,100.0,55.0,55.0
5425109,0.9774,11.2986,100.0,100.0,53.0,51.1357
5597506,1.269,415.0305,100.0,100.0,41.0,45.0802
